metro_id,property_type,time_stamp,num_sales
753899,allhomes,2013-04,10278.0
753899,allhomes,2013-05,10119.0
753899,allhomes,2013-06,9850.0
753899,allhomes,2013-07,9971.0
753899,allhomes,2013-08,9901.0
753899,allhomes,2013-09,9923.0
753899,allhomes,2013-10,9776.0
753899,allhomes,2013-11,9587.0
753899,allhomes,2013-12,9631.0
753899,allhomes,2014-01,9791.0
753899,allhomes,2014-02,9997.0
753899,allhomes,2014-03,9877.0
753899,allhomes,2014-04,9729.0
753899,allhomes,2014-05,9427.0
753899,allhomes,2014-06,9443.0
753899,allhomes,2014-07,9346.0
753899,allhomes,2014-08,9312.0
753899,allhomes,2014-09,9401.0
753899,allhomes,2014-10,9551.0
753899,allhomes,2014-11,9467.0
753899,allhomes,2014-12,9648.0
753899,allhomes,2015-01,9594.0
753899,allhomes,2015-02,9954.0
753899,allhomes,2015-03,9981.0
753899,allhomes,2015-04,10206.0
753899,allhomes,2015-05,10209.0
753899,allhomes,2015-06,10461.0
753899,allhomes,2015-07,10664.0
753899,allhomes,2015-08,10623.0
753899,allhomes,2015-09,10614.0
753899,allhomes,2015-10,10295.0
753899,allhomes,2015-11,9945.0
753899,allhomes,2015-12,9926.0
753899,allhomes,2016-01,10071.0
753899,allhomes,2016-02,10707.0
753899,allhomes,2016-03,10588.0
753899,allhomes,2016-04,10463.0
753899,allhomes,2016-05,10265.0
753899,allhomes,2016-06,10386.0
753899,allhomes,2016-07,10276.0
753899,allhomes,2016-08,10444.0
753899,allhomes,2016-09,10448.0
753899,allhomes,2016-10,10713.0
753899,allhomes,2016-11,11043.0
753899,allhomes,2016-12,11239.0
753899,allhomes,2017-01,11696.0
753899,allhomes,2017-02,11705.0
753899,allhomes,2017-03,11898.0
753899,allhomes,2017-04,11280.0
753899,allhomes,2017-05,11250.0
753899,allhomes,2017-06,11415.0
753899,allhomes,2017-07,11521.0
753899,allhomes,2017-08,11585.0
753899,allhomes,2017-09,11181.0
753899,allhomes,2017-10,11120.0
753899,allhomes,2017-11,10856.0
753899,allhomes,2017-12,10430.0
753899,allhomes,2018-01,10501.0
753899,allhomes,2018-02,10486.0
753899,allhomes,2018-03,10832.0
753899,allhomes,2018-04,10663.0
753899,allhomes,2018-05,10458.0
753899,allhomes,2018-06,10233.0
753899,allhomes,2018-07,10193.0
753899,allhomes,2018-08,10159.0
753899,allhomes,2018-09,
753899,allhomes,2018-10,
753899,allhomes,2018-11,
753899,allhomes,2018-12,
753899,allhomes,2019-01,
753899,allhomes,2019-02,
394463,allhomes,2008-03,11528.0
394463,allhomes,2008-04,11141.0
394463,allhomes,2008-05,9936.0
394463,allhomes,2008-06,9490.0
394463,allhomes,2008-07,9401.0
394463,allhomes,2008-08,9205.0
394463,allhomes,2008-09,9308.0
394463,allhomes,2008-10,9077.0
394463,allhomes,2008-11,8758.0
394463,allhomes,2008-12,8369.0
394463,allhomes,2009-01,8032.0
394463,allhomes,2009-02,8533.0
394463,allhomes,2009-03,8782.0
394463,allhomes,2009-04,8868.0
394463,allhomes,2009-05,8359.0
394463,allhomes,2009-06,8059.0
394463,allhomes,2009-07,8270.0
394463,allhomes,2009-08,8344.0
394463,allhomes,2009-09,8713.0
394463,allhomes,2009-10,9029.0
394463,allhomes,2009-11,10165.0
394463,allhomes,2009-12,10943.0
394463,allhomes,2010-01,10879.0
394463,allhomes,2010-02,10721.0
394463,allhomes,2010-03,10529.0
394463,allhomes,2010-04,10753.0
394463,allhomes,2010-05,10498.0
394463,allhomes,2010-06,10286.0
394463,allhomes,2010-07,9792.0
394463,allhomes,2010-08,8943.0
394463,allhomes,2010-09,7869.0
394463,allhomes,2010-10,7148.0
394463,allhomes,2010-11,7342.0
394463,allhomes,2010-12,7784.0
394463,allhomes,2011-01,8589.0
394463,allhomes,2011-02,9079.0
394463,allhomes,2011-03,9501.0
394463,allhomes,2011-04,8996.0
394463,allhomes,2011-05,8534.0
394463,allhomes,2011-06,8167.0
394463,allhomes,2011-07,8060.0
394463,allhomes,2011-08,8145.0
394463,allhomes,2011-09,7905.0
394463,allhomes,2011-10,7887.0
394463,allhomes,2011-11,8061.0
394463,allhomes,2011-12,8504.0
394463,allhomes,2012-01,9318.0
394463,allhomes,2012-02,9956.0
394463,allhomes,2012-03,10224.0
394463,allhomes,2012-04,9859.0
394463,allhomes,2012-05,9422.0
394463,allhomes,2012-06,9213.0
394463,allhomes,2012-07,9160.0
394463,allhomes,2012-08,9312.0
394463,allhomes,2012-09,8793.0
394463,allhomes,2012-10,8721.0
394463,allhomes,2012-11,8415.0
394463,allhomes,2012-12,8638.0
394463,allhomes,2013-01,9610.0
394463,allhomes,2013-02,10223.0
394463,allhomes,2013-03,10617.0
394463,allhomes,2013-04,10387.0
394463,allhomes,2013-05,10111.0
394463,allhomes,2013-06,10059.0
394463,allhomes,2013-07,10565.0
394463,allhomes,2013-08,10872.0
394463,allhomes,2013-09,11180.0
394463,allhomes,2013-10,11279.0
394463,allhomes,2013-11,11795.0
394463,allhomes,2013-12,12358.0
394463,allhomes,2014-01,12721.0
394463,allhomes,2014-02,13081.0
394463,allhomes,2014-03,12888.0
394463,allhomes,2014-04,12609.0
394463,allhomes,2014-05,12039.0
394463,allhomes,2014-06,12080.0
394463,allhomes,2014-07,11822.0
394463,allhomes,2014-08,11321.0
394463,allhomes,2014-09,11956.0
394463,allhomes,2014-10,12596.0
394463,allhomes,2014-11,12986.0
394463,allhomes,2014-12,12927.0
394463,allhomes,2015-01,12265.0
394463,allhomes,2015-02,12994.0
394463,allhomes,2015-03,12954.0
394463,allhomes,2015-04,13373.0
394463,allhomes,2015-05,12906.0
394463,allhomes,2015-06,13264.0
394463,allhomes,2015-07,14033.0
394463,allhomes,2015-08,15064.0
394463,allhomes,2015-09,15617.0
394463,allhomes,2015-10,15483.0
394463,allhomes,2015-11,14920.0
394463,allhomes,2015-12,14483.0
394463,allhomes,2016-01,14296.0
394463,allhomes,2016-02,15829.0
394463,allhomes,2016-03,16273.0
394463,allhomes,2016-04,16649.0
394463,allhomes,2016-05,15887.0
394463,allhomes,2016-06,16220.0
394463,allhomes,2016-07,16289.0
394463,allhomes,2016-08,16379.0
394463,allhomes,2016-09,15733.0
394463,allhomes,2016-10,15129.0
394463,allhomes,2016-11,14891.0
394463,allhomes,2016-12,15066.0
394463,allhomes,2017-01,15793.0
394463,allhomes,2017-02,16058.0
394463,allhomes,2017-03,16741.0
394463,allhomes,2017-04,16435.0
394463,allhomes,2017-05,16790.0
394463,allhomes,2017-06,16414.0
394463,allhomes,2017-07,16192.0
394463,allhomes,2017-08,15699.0
394463,allhomes,2017-09,14779.0
394463,allhomes,2017-10,14558.0
394463,allhomes,2017-11,14433.0
394463,allhomes,2017-12,14237.0
394463,allhomes,2018-01,14385.0
394463,allhomes,2018-02,14051.0
394463,allhomes,2018-03,14628.0
394463,allhomes,2018-04,14873.0
394463,allhomes,2018-05,15291.0
394463,allhomes,2018-06,15651.0
394463,allhomes,2018-07,15361.0
394463,allhomes,2018-08,14314.0
394463,allhomes,2018-09,12940.0
394463,allhomes,2018-10,12506.0
394463,allhomes,2018-11,12867.0
394463,allhomes,2018-12,13161.0
394463,allhomes,2019-01,12456.0
394463,allhomes,2019-02,12608.0
394514,allhomes,2008-03,8375.0
394514,allhomes,2008-04,7865.0
394514,allhomes,2008-05,7171.0
394514,allhomes,2008-06,7147.0
