ID,name,state_code
395112,"Spirit Lake, IA",IA
395113,"Spokane, WA",WA
395114,"Springfield, IL",IL
395115,"Springfield, MA",MA
395116,"Springfield, MO",MO
395117,"Springfield, OH",OH
395118,"St. Cloud, MN",MN
395119,"St. George, UT",UT
395120,"St. Joseph, MO",MO
395121,"St. Louis, MO",MO
395122,"St. Marys, GA",GA
395124,"Starkville, MS",MS
395125,"State College, PA",PA
395126,"Statesboro, GA",GA
395128,"Staunton, VA",VA
395129,"Stephenville, TX",TX
395130,"Sterling, CO",CO
395131,"Sterling, IL",IL
395132,"Stevens Point, WI",WI
395133,"Stillwater, OK",OK
395134,"Stockton, CA",CA
395135,"Storm Lake, IA",IA
395136,"Sturgis, MI",MI
395137,"Sulphur Springs, TX",TX
395138,"Summerville, GA",GA
395139,"Sumter, SC",SC
395140,"Sunbury, PA",PA
395141,"Susanville, CA",CA
395142,"Sweetwater, TX",TX
395143,"Syracuse, NY",NY
395144,"Tahlequah, OK",OK
395145,"Talladega, AL",AL
395146,"Tallahassee, FL",FL
395148,"Tampa, FL",FL
395149,"Taos, NM",NM
395150,"Taylorville, IL",IL
395151,"Terre Haute, IN",IN
395152,"Texarkana, TX",TX
395153,"The Villages, FL",FL
395154,"Thomaston, GA",GA
395155,"Thomasville, GA",GA
395157,"Tiffin, OH",OH
395158,"Tifton, GA",GA
395159,"Toccoa, GA",GA
395160,"Toledo, OH",OH
395161,"Topeka, KS",KS
395162,"Torrington, CT",CT
395163,"Traverse City, MI",MI
395164,"Trenton, NJ",NJ
395165,"Troy, AL",AL
395166,"Truckee, CA",CA
395167,"Tucson, AZ",AZ
395168,"Tullahoma, TN",TN
395169,"Tulsa, OK",OK
395170,"Tupelo, MS",MS
395171,"Tuscaloosa, AL",AL
395173,"Twin Falls, ID",ID
395174,"Tyler, TX",TX
395175,"Ukiah, CA",CA
395176,"Union City, TN",TN
395178,"Urbana, OH",OH
395179,"Utica, NY",NY
395181,"Uvalde, TX",TX
